Offset(P)            #Ptr   #Hnd Access Name
0x0000000002192990      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0x0000000002192e38     11      1 -W-rw- \Device\HarddiskVolume2ø
0x00000000022e8618      2      1 ------ \Device\Afd\Endpoint
0x0000000002307a08      1      1 R--r-d \Device\HarddiskVolume2xs\FileMaps\program_files_windows_sideba
0x000000000233cad0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000023d6898      8      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010009.ci
0x00000000023f5368      3      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000023f5728      5      0 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x00000000023f5848      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x00000000023f5eb8      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\secur32.dll
0x0000000002482690      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\svchost.exe.mui
0x0000000002482c98      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Syncreg.dll
0x00000000024a1a20      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x0000000002539288      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\credui.dll
0x00000000025396e0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\netapi32.dll
0x0000000002539c28      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rtutils.dll
0x0000000002544100      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mapi32.dll
0x00000000025444e8      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\powercpl.dll
0x0000000002608378      8      0 R--rwd \Device\HarddiskVolume2郏褴嶑ؓ؎瑁䅭᪀蝠b
0x0000000002638518      1      1 R--r-- \Device\HarddiskVolume2꿰-šꅦ驁ꂢn
0x0000000002638ed8      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\setupapi.dll
0x00000000026440e8      2      1 ------ \Device\Afd\Endpoint
0x0000000002644630      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-2dc-0
0x00000000026fa9d0      8      0 R--rwd \Device\HarddiskVolume2姀핌뀈핋時
0x00000000027df360      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x00000000028db4a0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000028db9b8      3      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Troubleshooter.evtx
0x000000000294e5b0      1      1 -W-rw- \Device\HarddiskVolume2\Windows\debug\PASSWD.LOG
0x0000000002b9e3e8      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\nlaapi.dll
0x0000000002beca20     10      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\ThinPrint Diagnostics.evtx
0x0000000002c33708      6      0 R--r-d \Device\HarddiskVolume2ठ褦㐬ꂒ
0x0000000002c33d58      3      0 R--r-d \Device\HarddiskVolume2\Program Files\VMware\VMware Tools\VMware VGAuth\glib-2.0.dll
0x0000000002dcc2c8      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\framedyn.dll
0x0000000002dcc850      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.18455_none_72d576ad8665e853
0x0000000002dccf80      6      0 R--r-d \Device\HarddiskVolume2F3856AD364E35_6.1.7600.16385_
0x0000000002dd8410      1      1 R--rw- \Device\HarddiskVolume2Ē
0x0000000002e010f8      8      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Fax and Scan.lnk
0x0000000002e01628     10      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Admin.evtx
0x0000000002e016e0     16      1 -W-rw- \Device\HarddiskVolume2\Windows\Temp\vmware-vmsvc.log
0x0000000002e01930      9      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\win32spl.dll.mui
0x0000000002ee96c0      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\rundll32.exe
0x0000000002ee9880      7      0 R--rwd \Device\HarddiskVolume2\Windows\System32\sccls.dll
0x0000000002ee9a68      4      0 R--rwd \Device\HarddiskVolume2\Windows\System32\mlang.dll
0x0000000003068c28      8      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows Firewall with Advanced Security.lnk
0x000000000309b3a8      9      1 R--r-d \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_581cd2bf5825dde9\comctl32.dll.mui
0x000000000309ba90      1      1 R--rw- \Device\HarddiskVolume2insxs\Backup\x86_microsoft-windows-ntvdm-system_31bf3856ad364e35_6.1.7600.16385_none_20246c0c81526e58_timer
0x000000000309bb48      6      0 R--r-d \Device\HarddiskVolume2ON_FILES_MICROSOFT_SHARED_INK
0x000000000309bd58      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
